paper_id,duration,trt_id,year,till_type,till_equipment,till_depth_cm,till_numpasses,till_dates,trt_name,trt_other_description
6014,2003-10,5,3;4;5;6,NA,NA,NA,NA,NA,NA,macrofauna included
6015,2011-3,0,1;2;3,conventional tillage,hand,"18-20 cm depth tilling, 10-15 cm depth during weeding",NA,NA,CT,NA
6015,2011-3,1,1;2;3,minimum tillage,hand,5 cm depth tilling and weeding,NA,NA,MT,NA
6015,2011-3,2,1;2;3,no-tillage,NA,large machete to cut row for planting,NA,NA,NT,NA
6015,2011-3,3,1;2;3,NA,NA,NA,NA,NA,typical,maize-bean intercropping
6015,2011-3,4,1;2;3,NA,NA,NA,NA,NA,relay,maize-bean intercropping with mucuna as relay intercrop
6015,2011-3,5,1;2;3,NA,NA,NA,NA,NA,strip,"maize, bean, mucuna strip intercrop rotation"
6016,2003-5,0,1;2;3;4;5,conventional tillage,hand,10-15 cm depth,NA,NA,NA,NA
6016,2003-5,1,1;2;3;4;5,reduced tillage,hand,3 cm depth,NA,NA,NA,NA
6017,2010-2,0,1;2,conventional tillage,hand,15 cm,NA,NA,CT,NA
6017,2010-2,1,1;2,minimum tillage or tied ridges,hand,NA,NA,NA,MT/TR,NA
6018,2011-1,0,1,conventional tillage,hand,NA,NA,NA,NA,NA
6018,2011-1,1,1,minimum tillage,hand,NA,NA,NA,NA,NA
6018,2011-1,2,1,tied ridges,hand,NA,NA,NA,NA,NA
6019,2008-2,0,1;2,conventional tillage,hand,NA,NA,NA,Mineral Fertilizer (NP),NA
6019,2008-2,1,1;2,minimum tillage,hand,NA,NA,NA,Zero tillage combined with mineral fertilizer (ZNP),NA
6020,2003-6,0,1;2;3;4;5;6,conventional tillage,hand,10-15 cm depth,NA,NA,T+,NA
6020,2003-6,1,1;2;3;4;5;6,reduced tillage,hand,3 cm depth,NA,NA,T-,NA
6020,2003-6,2,1;2;3;4;5;6,NA,NA,NA,NA,NA,T-,maize residue removed
6020,2003-6,3,1;2;3;4;5;6,NA,NA,NA,NA,NA,T+,maize residue added
6021,2007-4,0,1;2;3;4,moldboard plow,oxen,14 cm,NA,NA,OP (ox-plough),NA
6021,2007-4,1,1;2;3;4,"subsoil ripping (every 2 years), ripping every year",oxen,24 cm,NA,NA,SR (subsoiling-ripping),NA
6021,2007-4,2,1;2;3;4,tied-ridges,hand,NA,NA,NA,TR (tied-ridge),NA
6022,2003-5,0,1;2;3;4;5,conventional tillage,NA,NA,NA,NA,NA,NA
6022,2003-5,1,1;2;3;4;5,reduced tillage,NA,NA,NA,NA,NA,NA
6023,2007-2,0,1;2,"conventional tillage, full inversion with hand hoeing of weeds",hand,10-15 cm,3,NA,NA,NA
6023,2007-2,1,1;2,"minimum tillage, post emergence herbicide",NA,NA,0,NA,NA,NA
6024,2007-2,0,1;2,"conventional tillage, full inversion with hand hoeing of weeds",hand,10-15 cm,3,NA,NA,NA
6024,2007-2,1,1;2,"minimum tillage, post emergence herbicide",NA,NA,0,NA,NA,NA
6025,2003-5,0,1;2;3;4;5,conventional tillage,hand,10 cm depth,NA,NA,conventional tillage,NA
6025,2003-5,1,2;3;4;5,reduced tillage,hand,3 cm depth,NA,NA,reduced tillage,NA
6025,2003-5,2,1;2;3;4;5,NA,NA,NA,NA,NA,#NAME?,no maize stover
6025,2003-5,3,1;2;3;4;5,NA,NA,NA,NA,NA,#NAME?,maize stover added
6025,2003-5,4,1;2;3;4;5,NA,NA,NA,NA,NA,continuous maize,continuous maize
6025,2003-5,5,1;2;3;4;5,NA,NA,NA,NA,NA,rotation,soybean-maize rotation
6025,2003-5,6,1;2;3;4;5,NA,NA,NA,NA,NA,intercrop,soybeam-maize intercrop
6026,2007-3,0,1;2;3,conventional tillage,NA,NA,NA,NA,NA,NA
6026,2007-3,1,1;2;3,minimum tillage,NA,NA,NA,NA,NA,NA
6026,2007-3,2,1;2;3,NA,NA,NA,NA,NA,NA,crop residue removed
6026,2007-3,3,1;2;3,NA,NA,NA,NA,NA,NA,crop residue retained
6027,2008-2,0,1;2,conventional tillage,hand,NA,NA,NA,Mineral Fertilizer (NP),NA
6027,2008-2,1,1;2,minimum tillage,hand,NA,NA,NA,Zero tillage combined with mineral fertilizer (ZNP),NA
6028,2005-3,0,1;2;3,conventional tillage,NA,NA,NA,NA,NA,NA
6028,2005-3,1,1;2;3,tied ridges,NA,NA,NA,NA,NA,NA
6028,2005-3,2,1;2;3,no-tillage,NA,NA,NA,NA,NA,NA
6028,2005-3,3,1;2;3,crop residues removed,NA,NA,NA,NA,NA,crop residues removed
6028,2005-3,4,1;2;3,crop residues added (1 t/ha),NA,NA,NA,NA,NA,crop residues added (1 t/ha)
6028,2005-3,5,1;2;3,manure added (2 t/ha),NA,NA,NA,NA,NA,manure added (2 t/ha)
6028,2005-3,6,1;2;3,no manure added,NA,NA,NA,NA,NA,no manure added
6028,2005-3,7,1;2;3,0 kg N/ha added,NA,NA,NA,NA,NA,NA
6028,2005-3,8,1;2;3,60 kg N/ha added,NA,NA,NA,NA,NA,NA
