paper_id,duration,trt_id,year,fert_app,fert_type,fert_type_detail,fert_rate,fert_nitrogen,fert_phosphorus,fert_potassium,fert_carbon,fert_date,trt_name,trt_other_description
5026,2011-2,3,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,100 kg N/ha,Present,Absent,Absent,NA,100,NA
5026,2011-2,4,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,150 kg N/ha,Present,Absent,Absent,NA,150,NA
5026,2011-2,5,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,200 kg N/ha,Present,Absent,Absent,NA,200,NA
5027,2012-2,0,1;2,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,Control,NA
5027,2012-2,1,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,50 kg N/ha,Present,Absent,Absent,NA,50,NA
5027,2012-2,2,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,75 kg N/ha,Present,Absent,Absent,NA,75,NA
5027,2012-2,3,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,200 kg N/ha,Present,Absent,Absent,NA,200,NA
5028,2012-2,0,1;2,NA,Unamended,unfertilized,NA,NA,NA,NA,NA,NA,Control,NA
5028,2012-2,1,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,50 kg N/ha,Present,Absent,Absent,NA,50,NA
5028,2012-2,2,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,75 kg N/ha,Present,Absent,Absent,NA,75,NA
5028,2012-2,3,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,100 kg N/ha,Present,Absent,Absent,NA,100,NA
5028,2012-2,4,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,150 kg N/ha,Present,Absent,Absent,NA,150,NA
5028,2013-2,5,1;2,NA,Nitrogen Mineral Fertilizer; Phosphorus Mineral Fertilizer,Diammonium phosphate (18% N) at planting equalling 1/3 fertilizer N; Urea (46% N) applied 5 weeks post planting equalling 2/3 fertilizer N,NA,200 kg N/ha,Present,Absent,Absent,NA,200,NA
5029,2013-1,0,1,NA,Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,60 kg P/ha/season; 60 kg K/ha/season,NA,Absent,60 kg P/ha/season,60 kg K/ha/season,Absent,NA,Con,NA
5029,2013-1,1,1,broadcast and hand hoed (0-15 cm) to incorporate,Green Manure; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,"intermediate quality Calliandra calothyrsus (C/N ratio 13; Lignin 13%; Polyphenols 9.4%), 4 Mg C/ha/a; 60 kg P/ha/season; 60 kg K/ha/season",NA,Present,60 kg P/ha/season,60 kg K/ha/season,Present,NA,CC,NA
5029,2013-1,2,1,broadcast and hand hoed (0-15 cm) to incorporate,Green Manure; Phosphorus Mineral Fertilizer; Potassium Mineral Fertilizer,"low quality Zea mays (C/N ratio 59; Lignin 5.4%; Polyphenols 1.2%), 4 Mg C/ha/a; 60 kg P/ha/season; 60 kg K/ha/season",NA,Present,60 kg P/ha/season,60 kg K/ha/season,Present,NA,ZM,NA
