paper_id,duration,trt_id,year,cover_soilprep,cover_plantdate,cover_plantimplement,cover_fertilizer,cover_type,cover_mixture,cover_seeddensity,termination,herbicide,termination_timing,trt_other_description
4012,1987-5,28,1;2;3;4;5,NA,NA,NA,NA,monocrop,kale,NA,NA,NA,NA,NA
4012,1987-5,29,1;2;3;4;5,NA,NA,NA,NA,monocrop,soybean,NA,NA,NA,NA,NA
4012,1987-5,30,1;2;3;4;5,NA,NA,NA,NA,monocrop,millet,NA,NA,NA,NA,NA
4012,1987-5,31,1;2;3;4;5,NA,NA,NA,NA,monocrop,sorghum,NA,NA,NA,NA,NA
4013,1989-4,0,1;2;3;4,NA,NA,NA,NA,monocrop,napier grass,"20,000 transplants/ha",NA,NA,NA,NA
4013,1989-4,1,1;2;3;4,NA,NA,NA,NA,monocrop,Leucaena leucocephala,"40,000 trees/ha",NA,NA,NA,NA
4013,1989-4,2,1;2;3;4,NA,NA,NA,NA,alley crop,napier grass; Leucaena leucocephala,"16,000 transplants/ha; 8,000 trees/ha",NA,NA,NA,NA
4013,1989-4,3,1;2;3;4,NA,NA,NA,NA,alley crop,napier grass; Leucaena leucocephala; blue pea,"16,000 transplants/ha; 8,000 trees/ha; 4 kg seeds/ha",NA,NA,NA,NA
4013,1989-4,5,1;2;3;4,NA,NA,NA,NA,alley crop,Leucaena leucocephala; blue pea,NA,NA,NA,NA,NA
4013,1989-4,4,1;2;3;4,NA,NA,NA,NA,intercrop,napier grass; Leucaena leucocephala; blue pea,NA,NA,NA,NA,NA
4013,1989-4,6,1;2;3;4,NA,NA,NA,NA,monocrop,blue pea,NA,NA,NA,NA,NA
4014,1995-2,0,1;2,NA,NA,NA,NA,monocrop,Acacia saligna,"2,500 trees/ha with 1 m between trees",NA,NA,NA,NA
4014,1995-2,1,1;2,NA,NA,NA,NA,monocrop,sorghum,NA,NA,NA,NA,NA
4014,1995-2,2,1;2,NA,NA,NA,NA,alley crop,Acacia saligna; sorghum,"2,500 trees/ha with 1 m between trees; 0.5 m apart with 0.25 m distance between plant rows",NA,NA,NA,NA
4015,1986-2,0,1;2,NA,NA,NA,NA,monocrop,cowpea,NA,NA,NA,NA,NA
4015,1986-2,1,1;2,NA,NA,NA,NA,intercrop,cowpea; maize,NA,NA,NA,NA,NA
4015,1986-2,2,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no insecticide
4015,1986-2,3,1;2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"insecticide, cypermethrin and dimethoate every 10 days"
4016,1992-1,0,1,NA,NA,NA,NA,bare soil,fallow,NA,NA,NA,NA,NA
4016,1992-1,1,1,NA,NA,NA,NA,monocrop,maize,NA,NA,NA,NA,NA
4016,1992-1,2,1,NA,NA,NA,NA,monocrop,bean,NA,NA,NA,NA,NA
4016,1992-1,3,1,NA,NA,NA,NA,intercrop,maize; bean,NA,NA,NA,NA,NA
4017,1981-9,0,1;2;3;4;5;6;7;8;9,NA,NA,NA,NA,monocrop,sorghum,NA,NA,NA,NA,NA
4017,1981-9,1,1;2;3;4;5;6;7;8;9,NA,NA,NA,NA,monocrop,cowpea,NA,NA,NA,NA,NA
4017,1981-9,2,1;2;3;4;5;6;7;8;9,NA,NA,NA,NA,intercrop,sorghum; cowpea,NA,NA,NA,NA,NA
4017,1981-9,3,1;2;3;4;5;6;7;8;9,NA,NA,NA,NA,intercrop,sorghum; sorghum,NA,NA,NA,NA,Serena and IS4660 lines
4018,42401,0,1;2,NA,NA,hand hoe,145 kg/ha of diammonium phosphate; maize 26 kg N/ha calcium ammonium nitrate at 4 and 7 weeks after sowing,intercrop,maize; bean,"0.75 m × 0.30 m spacing, 44444 maize plants/ha; 0.2 m btwn maize, 66666 bean plants/ha",NA,Karate; Redomil,NA,NA
4018,42401,1,1;2,NA,NA,hand hoe,145 kg/ha of diammonium phosphate; maize 26 kg N/ha calcium ammonium nitrate at 4 and 7 weeks after sowing,alley crop,maize; bean; Calliandra,"0.75 m × 0.30 m spacing maize, 0.2 m bean btwn maize, 4 m × 0.50 m Caliandra",NA,Karate; Redomil,NA,hedgerows cut to 0.6m
4019,2002-3,0,1;2;3,NA,NA,NA,NA,monocrop,sorghum,"30 cm in row, 60 cm row to row",NA,NA,NA,NA
